id,key,value,type
153348424,ele,148,regular
153348424,gnis:Class,Populated Place,regular
153348424,gnis:County,Jefferson,regular
153348424,gnis:County_num,111,regular
153348424,gnis:ST_alpha,KY,regular
153348424,gnis:ST_num,21,regular
153348424,id,494217,gnis
153348424,import_uuid,Bb7269Ee-502A-5391-8056-E3Ce0E66489C,regular
153348424,is_in,"Jefferson,Kentucky,Ky.,Ky,Usa",regular
153348424,name,Highland Park,regular
153348424,place,Hamlet,regular
153348424,wikidata,Q5758926,regular
153406765,ele,145,regular
153406765,gnis:Class,Populated Place,regular
153406765,gnis:County,Jefferson,regular
153406765,gnis:County_num,111,regular
153406765,gnis:ST_alpha,KY,regular
153406765,gnis:ST_num,21,regular
153406765,id,506693,gnis
153406765,import_uuid,Bb7269Ee-502A-5391-8056-E3Ce0E66489C,regular
153406765,is_in,"Jefferson,Kentucky,Ky.,Ky,Usa",regular
153406765,name,Whitner,regular
153406765,place,Hamlet,regular
153406765,wikidata,Q7996654,regular
153415020,population,718;2006,census
153415020,ele,149,regular
153415020,gnis:Class,Populated Place,regular
153415020,gnis:County,Jefferson,regular
153415020,gnis:County_num,111,regular
153415020,gnis:ST_alpha,KY,regular
153415020,gnis:ST_num,21,regular
153415020,id,500209,gnis
153415020,import_uuid,Bb7269Ee-502A-5391-8056-E3Ce0E66489C,regular
153415020,is_in,"Jefferson,Kentucky,Ky.,Ky,Usa",regular
153415020,name,Parkway Village,regular
153415020,place,Village,regular
153415020,population,718,regular
153528760,ele,144,regular
153528760,gnis:Class,Populated Place,regular
153528760,gnis:County,Jefferson,regular
153528760,gnis:County_num,111,regular
153528760,gnis:ST_alpha,KY,regular
153528760,gnis:ST_num,21,regular
153528760,id,486751,gnis
153528760,import_uuid,Bb7269Ee-502A-5391-8056-E3Ce0E66489C,regular
153528760,is_in,"Jefferson,Kentucky,Ky.,Ky,Usa",regular
153528760,name,Beechmont,regular
153528760,place,Hamlet,regular
153528760,wikidata,Q4879663,regular
153541323,ele,150,regular
153541323,gnis:Class,Populated Place,regular
153541323,gnis:County,Jefferson,regular
153541323,gnis:County_num,111,regular
153541323,gnis:ST_alpha,KY,regular
153541323,gnis:ST_num,21,regular
153541323,id,500210,gnis
153541323,import_uuid,Bb7269Ee-502A-5391-8056-E3Ce0E66489C,regular
153541323,is_in,"Jefferson,Kentucky,Ky.,Ky,Usa",regular
153541323,name,Parkwood,regular
153541323,place,Hamlet,regular
153541323,wikidata,Q7138828,regular
153544895,ele,140,regular
153544895,gnis:Class,Populated Place,regular
153544895,gnis:County,Jefferson,regular
153544895,gnis:County_num,111,regular
153544895,gnis:ST_alpha,KY,regular
153544895,gnis:ST_num,21,regular
153544895,id,506745,gnis
153544895,import_uuid,Bb7269Ee-502A-5391-8056-E3Ce0E66489C,regular
153544895,is_in,"Jefferson,Kentucky,Ky.,Ky,Usa",regular
153544895,name,Wilder Park,regular
153544895,place,Hamlet,regular
153557723,ele,158,regular
153557723,gnis:Class,Populated Place,regular
153557723,gnis:County,Jefferson,regular
153557723,gnis:County_num,111,regular
153557723,gnis:ST_alpha,KY,regular
153557723,gnis:ST_num,21,regular
153557723,id,1967435,gnis
153557723,import_uuid,Bb7269Ee-502A-5391-8056-E3Ce0E66489C,regular
153557723,is_in,"Jefferson,Kentucky,Ky.,Ky,Usa",regular
153557723,name,Louisville-Jefferson County,regular
153557723,place,Hamlet,regular
153581852,ele,145,regular
153581852,gnis:Class,Populated Place,regular
153581852,gnis:County,Jefferson,regular
153581852,gnis:County_num,111,regular
153581852,gnis:ST_alpha,KY,regular
153581852,gnis:ST_num,21,regular
153581852,id,495685,gnis
153581852,import_uuid,Bb7269Ee-502A-5391-8056-E3Ce0E66489C,regular
153581852,is_in,"Jefferson,Kentucky,Ky.,Ky,Usa",regular
153581852,name,Kenwood,regular
153581852,place,Hamlet,regular
153588349,ele,145,regular
153588349,gnis:Class,Populated Place,regular
153588349,gnis:County,Jefferson,regular
153588349,gnis:County_num,111,regular
153588349,gnis:ST_alpha,KY,regular
153588349,gnis:ST_num,21,regular
153588349,id,493956,gnis
153588349,import_uuid,Bb7269Ee-502A-5391-8056-E3Ce0E66489C,regular
153588349,is_in,"Jefferson,Kentucky,Ky.,Ky,Usa",regular
153588349,name,Hazelwood,regular
153588349,place,Hamlet,regular
153588349,wikidata,Q14690566,regular
153603480,ele,140,regular
153603480,gnis:Class,Populated Place,regular
153603480,gnis:County,Jefferson,regular
153603480,gnis:County_num,111,regular
153603480,gnis:ST_alpha,KY,regular
153603480,gnis:ST_num,21,regular
153603480,id,494789,gnis
153603480,import_uuid,Bb7269Ee-502A-5391-8056-E3Ce0E66489C,regular
153603480,is_in,"Jefferson,Kentucky,Ky.,Ky,Usa",regular
153603480,name,Hunters Trace,regular
153603480,place,Hamlet,regular
153603480,wikidata,Q5944781,regular
