SurveyYear,SalaryUSD,Country,PrimaryDatabase,YearsWithThisDatabase,EmploymentStatus,JobTitle,ManageStaff,YearsWithThisTypeOfJob,OtherPeopleOnYourTeam,Education,EmploymentSector,Gender,Salary_Cat
2020,115000.0,United States,Microsoft SQL Server,15,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",False,5,2,Not Asked,Private business,Male,Tier 3
2020,100000.0,United States,Other,6,Full time employee,"Developer: App code (C#, JS, etc)",False,6,More than 5,Not Asked,Private business,Male,Tier 3
2020,100000.0,Spain,Microsoft SQL Server,2,Full time employee,Other,True,3,1,Not Asked,Private business,Male,Tier 3
2020,70000.0,United States,Microsoft SQL Server,3,Full time employee,Analyst,False,3,2,Not Asked,Private business,Male,Tier 2
2020,110000.0,United States,Oracle,30,Full time employee,DBA,False,25,None,Not Asked,Non-profit,Male,Tier 3
2020,79500.0,United States,Oracle,2,Full time employee,Analyst,False,2,None,Not Asked,Private business,Male,Tier 2
2020,110000.0,United States,Other,4,Full time employee,DBA,False,4,More than 5,Not Asked,Private business,Male,Tier 3
2020,39000.0,Portugal,Microsoft SQL Server,15,Contractual work,"Developer: App code (C#, JS, etc)",True,15,None,Not Asked,Private business,Male,Tier 1
2020,58000.0,United States,Microsoft SQL Server,1,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",False,1,None,Not Asked,"Education (K-12, college, university)",Male,Tier 2
2020,125000.0,United States,Microsoft SQL Server,6,Full time employee,Engineer,False,4,2,Not Asked,Private business,Male,Tier 3
2020,87500.0,United States,Microsoft SQL Server,10,Full time employee,"Developer: App code (C#, JS, etc)",False,10,1,Not Asked,Private business,Male,Tier 2
2020,120000.0,United States,Microsoft SQL Server,20,Full time employee,Manager,True,9,None,Not Asked,Local government,Male,Tier 3
2020,158000.0,United States,Oracle,15,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",False,4,None,Not Asked,Non-profit,Male,Tier 4
2020,53000.0,United States,Microsoft SQL Server,1,Full time employee,DBA,False,1,3,Not Asked,Federal government,Female,Tier 2
2020,49620.0,United Kingdom,Microsoft SQL Server,3,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",False,9,None,Not Asked,Private business,Male,Tier 1
2020,88000.0,United States,Other,4,Full time employee,Analyst,False,4,More than 5,Not Asked,Private business,Male,Tier 2
2020,84000.0,Canada,Microsoft SQL Server,15,Full time employee,DBA,False,15,4,Not Asked,Local government,Male,Tier 2
2020,40000.0,Netherlands,Oracle,15,Full time employee,Manager,False,15,None,Not Asked,Non-profit,Male,Tier 1
2020,64422.0,United Kingdom,Microsoft SQL Server,10,Full time employee,DBA,False,7,2,Not Asked,Private business,Male,Tier 2
2020,105000.0,Austria,Microsoft SQL Server,20,Contractual work,DBA,True,25,1,Not Asked,Private business,Male,Tier 3
2020,56000.0,Belgium,Microsoft SQL Server,10,Full time employee,"Developer: App code (C#, JS, etc)",True,22,1,Not Asked,Private business,Male,Tier 2
2020,90000.0,United States,MySQL/MariaDB,1,Contractual work,Analyst,False,1,1,Not Asked,Federal government,Male,Tier 2
2020,100000.0,United States,Microsoft SQL Server,7,Full time employee,Developer: T-SQL,False,5,None,Not Asked,Private business,Male,Tier 3
2020,128500.0,United States,Microsoft SQL Server,18,Full time employee,Developer: T-SQL,True,4,None,Not Asked,Private business,Male,Tier 3
2020,64000.0,United States,Microsoft SQL Server,6,Full time employee,"Developer: App code (C#, JS, etc)",False,3,1,Not Asked,Non-profit,Male,Tier 2
2020,75000.0,United States,Microsoft Access,1,Full time employee,Analyst,False,1,3,Not Asked,Private business,Male,Tier 2
2020,185000.0,United States,Microsoft SQL Server,15,Full time employee,Engineer,False,15,None,Not Asked,Private business,Male,Tier 4
2020,53500.0,United Kingdom,Microsoft SQL Server,5,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",False,5,1,Not Asked,Private business,Male,Tier 2
2020,116000.0,United States,Microsoft SQL Server,15,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",False,9,1,Not Asked,Non-profit,Male,Tier 3
2020,55000.0,United States,PostgreSQL,10,Full time employee,Analyst,False,0,1,Not Asked,Private business,Male,Tier 2
2020,40000.0,United States,MySQL/MariaDB,1,Full time employee,Analyst,False,1,None,Not Asked,Private business,Male,Tier 1
2020,115000.0,United States,Microsoft SQL Server,10,Full time employee,DBA,False,7,1,Not Asked,Local government,Male,Tier 3
2020,53000.0,United States,Microsoft SQL Server,2,Full time employee,Analyst,False,2,4,Not Asked,Private business,Male,Tier 2
2020,95000.0,United States,Microsoft SQL Server,3,Full time employee,Engineer,False,1,More than 5,Not Asked,Private business,Male,Tier 2
2020,142000.0,United States,Oracle,5,Full time employee,Analyst,True,5,3,Not Asked,Federal government,Male,Tier 3
2020,100000.0,United States,Microsoft SQL Server,6,Full time employee,Analyst,False,11,2,Not Asked,Non-profit,Male,Tier 3
2020,122000.0,United States,Microsoft SQL Server,5,Contractual work,Architect,False,5,More than 5,Not Asked,Private business,Male,Tier 3
2020,60000.0,United States,Microsoft SQL Server,1,Contractual work,"Developer: App code (C#, JS, etc)",True,1,1,Not Asked,Federal government,Male,Tier 2
2020,78000.0,United States,Microsoft SQL Server,2,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",False,2,2,Not Asked,Private business,Female,Tier 2
2020,74000.0,United Kingdom,Other,1,Full time employee,Data Scientist,False,3,1,Not Asked,Private business,Male,Tier 2
2020,44000.0,France,Microsoft SQL Server,1,Contractual work,"Developer: Business Intelligence (SSRS, PowerBI, etc)",False,1,More than 5,Not Asked,Private business,Male,Tier 1
2020,103000.0,United States,Microsoft SQL Server,10,Contractual work,Other,False,10,More than 5,Not Asked,Private business,Male,Tier 3
2020,85000.0,United States,Microsoft SQL Server,3,Full time employee,Analyst,False,3,None,Not Asked,Private business,Male,Tier 2
2020,100000.0,United States,Microsoft SQL Server,20,Full time employee,DBA,False,20,None,Not Asked,Federal government,Male,Tier 3
